codigo_da_postagem,texto_da_postagem,texto_do_comentario,link_comentario,nome_portal,sentimento
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,ja to de luto,https://x.com/amoratinhosz/status/1889833916707840448,@PortalHOTD,negativo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,Sim,https://x.com/PortalHOTD/status/1889850221108342905,@PortalHOTD,positivo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,NA,https://x.com/blythpercyz/status/1889830929079959595,@PortalHOTD,neutro
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,o jace morrendo no início do primeiro episódio vai doer,https://x.com/meleysjj/status/1889834254739423626,@PortalHOTD,negativo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,Já vai começar a 3T com o jace indo pro caixão ai cara,https://x.com/imoraekiki/status/1889837965683404875,@PortalHOTD,negativo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,O Jace no 1 episódio,https://x.com/Ranger_azul24/status/1889838187012563399,@PortalHOTD,neutro
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,Mas pq a surpresa A temporada acabou com o pessoal indo pra guerra,https://x.com/rhaenyrinho/status/1889830542822248506,@PortalHOTD,negativo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,domingo dia de hotd e você já chorando no primeiro episódio nossa vsf hbo,https://x.com/sirkoweezer/status/1889843329300619683,@PortalHOTD,positivo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,a batalha durando 5 minutos,https://x.com/cfagundx/status/1889834082827378756,@PortalHOTD,negativo
https://x.com/PortalHOTD/status/1889829248619389119,MEU DEUS A 3ª temporada de House of the Dragon vai começar com a Batalha da Goela segundo a chefe de drama da HBO Francesca Orsi,Não vejo a hora do domingo ter novamente aquela trilha sonora,https://x.com/HenrickRuviaro/status/1890189434802565325,@PortalHOTD,negativo
